id,absence_id,file_name,file_path,file_size,mime_type,uploaded_by,created_at
1cc92afe-4ded-4432-9a88-dddd3e15b825,488ae35b-0d10-44bb-8b46-df35de9f3bfb,Declara��o Presen�a Utente - CUF.pdf,7af66a63-fc20-4028-8f3b-1146bcc473f1/488ae35b-0d10-44bb-8b46-df35de9f3bfb/1773054553695_Declarao_Presena_Utente_-_CUF.pdf,112121,application/pdf,7af66a63-fc20-4028-8f3b-1146bcc473f1,2026-03-09 11:09:14.086929+00
9d62ad27-6247-4896-927f-b32924b555ed,97f52c31-7b2d-43a7-bab3-58e945ce1b7c,280440502-62348720-2026-03-02.pdf,5c81f01a-f266-40d0-a098-29ce074277af/97f52c31-7b2d-43a7-bab3-58e945ce1b7c/1773071968209_280440502-62348720-2026-03-02.pdf,83012,application/pdf,5c81f01a-f266-40d0-a098-29ce074277af,2026-03-09 15:59:28.844839+00
82fa9d77-fd65-41dc-8a28-aea5d188ab18,1a8718f8-7c56-4281-9116-0d3c8663d659,"WhatsApp Image 2026-03-07 at 13.59.29,,.jpeg",33985a6f-6793-4041-8f8a-7a3cdc7e8fd7/1a8718f8-7c56-4281-9116-0d3c8663d659/1773133896117_WhatsApp_Image_2026-03-07_at_13.59.29.jpeg,142595,image/jpeg,33985a6f-6793-4041-8f8a-7a3cdc7e8fd7,2026-03-10 09:11:36.257641+00
b2f8b0c2-1359-46b2-a82c-1ac1cef377de,1a8718f8-7c56-4281-9116-0d3c8663d659,WhatsApp Image 2026-03-07 at 13.59.29.jpeg,33985a6f-6793-4041-8f8a-7a3cdc7e8fd7/1a8718f8-7c56-4281-9116-0d3c8663d659/1773133896118_WhatsApp_Image_2026-03-07_at_13.59.29.jpeg,89063,image/jpeg,33985a6f-6793-4041-8f8a-7a3cdc7e8fd7,2026-03-10 09:11:36.259171+00
f438a937-6d57-4efe-a1e6-09e2fb4b8e62,5da34aa1-18f9-4653-a991-6f21ad62ae87,Screenshot_20260310_120003_Firefox.jpg,6d8052fb-fe01-448d-b2cd-5bf756683ad2/5da34aa1-18f9-4653-a991-6f21ad62ae87/1773144029638_Screenshot_20260310_120003_Firefox.jpg,185961,image/jpeg,6d8052fb-fe01-448d-b2cd-5bf756683ad2,2026-03-10 12:00:31.205862+00
0f56e1cf-2cfd-4bbc-af69-030b4312367e,efb57ffd-ca6a-4096-a4a9-2b18ae92ed22,decl ivone 10.03.2026.pdf,2c3b3f00-8821-45a2-ae6b-bf5cc351a941/efb57ffd-ca6a-4096-a4a9-2b18ae92ed22/1773222945855_decl_ivone_10.03.2026.pdf,35706,application/pdf,2c3b3f00-8821-45a2-ae6b-bf5cc351a941,2026-03-11 09:55:46.525869+00
34aa5bac-6c9c-47fe-b1bc-2ceef4edba51,ce493b4a-280a-4fa6-8b74-0ebd75ef0c4c,IMG-20260320-WA0030.jpg,d66acea2-fc3b-4051-b110-05e545140b34/ce493b4a-280a-4fa6-8b74-0ebd75ef0c4c/1774019270903_IMG-20260320-WA0030.jpg,84769,image/jpeg,d66acea2-fc3b-4051-b110-05e545140b34,2026-03-20 15:07:51.042563+00
6b18beeb-7d1a-44e1-8f45-f6e0573f218f,aa760d85-7c03-4573-a3b5-f02877b7180e,IMG_2910.jpeg,ba483539-dce5-4a49-b957-dcc4148e9cab/aa760d85-7c03-4573-a3b5-f02877b7180e/1774344262117_IMG_2910.jpeg,198925,image/jpeg,ba483539-dce5-4a49-b957-dcc4148e9cab,2026-03-24 09:24:23.287626+00
2640d87f-c32f-4ff0-91df-0b700d408fad,6dced975-ab84-4e9b-bb23-b1f6dc76c46c,SMarketing26032613181.pdf,5c81f01a-f266-40d0-a098-29ce074277af/6dced975-ab84-4e9b-bb23-b1f6dc76c46c/1774527958268_SMarketing26032613181.pdf,42257,application/pdf,5c81f01a-f266-40d0-a098-29ce074277af,2026-03-26 12:25:58.784078+00
bb0f2eaa-721c-4d79-8a71-47b6ecceb36b,6dced975-ab84-4e9b-bb23-b1f6dc76c46c,e719ed3d-5595-4973-9e00-791b036886b2.jpg,5c81f01a-f266-40d0-a098-29ce074277af/6dced975-ab84-4e9b-bb23-b1f6dc76c46c/1774528015852_e719ed3d-5595-4973-9e00-791b036886b2.jpg,150127,image/jpeg,5c81f01a-f266-40d0-a098-29ce074277af,2026-03-26 12:26:56.111746+00
d88e8cab-8e66-478e-b0f2-12846637d825,ff4857af-b1ff-48ea-9fd9-5b989f830c97,ivone cafape e hospital.pdf,2c3b3f00-8821-45a2-ae6b-bf5cc351a941/ff4857af-b1ff-48ea-9fd9-5b989f830c97/1774534769966_ivone_cafape_e_hospital.pdf,76629,application/pdf,2c3b3f00-8821-45a2-ae6b-bf5cc351a941,2026-03-26 14:19:30.434168+00
e926aebe-643d-4c9e-82ca-32bdd00d1e81,370200c1-a53a-445e-b717-caed39a6e3bd,SMarketing26032713000.pdf,5c81f01a-f266-40d0-a098-29ce074277af/370200c1-a53a-445e-b717-caed39a6e3bd/1774613025699_SMarketing26032713000.pdf,21636,application/pdf,5c81f01a-f266-40d0-a098-29ce074277af,2026-03-27 12:03:45.722416+00
